description,name,status,resource,sponsor,startdate,enddate,githuburl,svnurl,languages,main_language,cloc_language,comments,resolution/_tlp,mentors/mentor/0/_username,mentors/mentor/0/__text,mentors/mentor/1/_username,mentors/mentor/1/__text,mentors/mentor/2/_username,mentors/mentor/2/__text,reporting/_group,champion/_availid,champion/__text,mentors/mentor/3/_username,mentors/mentor/3/__text,resolution/_link,resolution/_url,resolution/__text,_resourceAliases,resolution,mentors/mentor/4/_username,mentors/mentor/4/__text,mentors/mentor/5/_username,mentors/mentor/5/__text,mentors/mentor/6/_username,mentors/mentor/6/__text,mentors/mentor/7/_username,mentors/mentor/7/__text,mentors/mentor/8/_username,mentors/mentor/8/__text,mentors/mentor/9/_username,mentors/mentor/9/__text,reporting/__text,graduating,changes/change/_resource,changes/change/_enddate,changes/change/__text,__text,reporting/_monthly,_longname
Apache Amaterasu is a framework providing continuous deployment for Big Data pipelines.,Amaterasu,retired,amaterasu,Incubator,2017-09-07,2019-09-18,https://github.com/apache/incubator-retired-Amaterasu,,"{""Kotlin"": 198384, ""Python"": 65610, ""Scala"": 11850, ""Shell"": 8744, ""Java"": 3600}",Kotlin,Kotlin,,,jbonofre,Jean-Baptiste Onofré,olamy,Olivier Lamy,davor,Davor Bonaci,,jbonofre,Jean-Baptiste Onofré,,,,,,,Retired for lack of activity and inactive PPMC.,,,,,,,,,,,,,,,,,,,,
"Ambari is a monitoring, administration and lifecycle management project for Apache Hadoop clusters. (Formerly known as HMS)",Ambari,graduated,ambari,Incubator,2011-08-30,2013-11-20,https://github.com/apache/Ambari,,"{""Java"": 26670579, ""JavaScript"": 14648865, ""Python"": 7226684, ""HTML"": 5320166, ""PowerShell"": 2047735, ""CSS"": 919886, ""Shell"": 350773, ""PLpgSQL"": 298247, ""TSQL"": 293001, ""C#"": 182799, ""PHP"": 149648, ""C"": 109499, ""Batchfile"": 22734, ""Dockerfile"": 8117, ""Vim script"": 5813, ""CoffeeScript"": 4323, ""Makefile"": 2407, ""SQLPL"": 2160, ""R"": 1457, ""sed"": 1133}",Java,Java,,true,omalley,Owen O'Malley,cdouglas,Chris Douglas,acmurthy,Arun Murthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Amber project will deliver a Java development framework mainly aimed to build OAuth-aware applications.
            Amber graduated with the name Apache Oltu",Amber,graduated,amber,Shindig,2010-05-09,2013-01-16,https://github.com/apache/oltu,,"{""Java"": 767893, ""Shell"": 4455}",Java,Java,Project graduated with new name Oltu,,jfclere,Jean-Frederic Clere,gianugo,Gianugo Rabellino,djencks,David Jencks,,,,rfeng,Raymond Feng,Oltu,http://oltu.apache.org,,oltu,,,,,,,,,,,,,,,,,,,,,
"Annotator provides annotation enabling code for browsers, servers, and humans.",Annotator,current,annotator,Incubator,2016-08-30,,https://github.com/apache/incubator-Annotator,,"{""TypeScript"": 173740, ""JavaScript"": 16690, ""HTML"": 4502, ""Makefile"": 2705, ""CSS"": 1558}",TypeScript,TypeScript,,,niq,Nick Kew,tommaso,Tommaso Teofili,bigbluehat,Benjamin Young,1,humbedooh,Daniel Gruno,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anything To Triples (any23) is a library, a web service and a command line tool that extracts structured data in RDF format from a variety of Web documents.",Any23,graduated,any23,Tika,2011-10-01,2012-08-28,https://github.com/apache/Any23,,"{""HTML"": 3003442, ""Java"": 2022788, ""XSLT"": 38313, ""Shell"": 1087}",HTML,Java,,true,mattmann,Chris Mattmann,niq,Nick Kew,pramirez,Paul Ramirez,,,,simonetripodi,Simone Tripodi,,,,,,tommaso,Tommaso Teofili,,,,,,,,,,,,,,,,,,
Apex is an enterprise grade native YARN big data-in-motion platform that unifies stream processing as well as batch processing.,Apex,graduated,apex,Incubator,2015-08-17,2016-04-20,https://github.com/apache/Apex-core,,"{""Java"": 3712681, ""Shell"": 10082, ""XSLT"": 1758, ""Dockerfile"": 1073, ""HTML"": 843}",Java,Java,,true,cnauroth,Chris Nauroth,gates,Alan Gates,hitesh,Hitesh Shah,,tdunning,Ted Dunning,jmclean,Justin Mclean,,,,,,ptgoetz,P. Taylor Goetz,tdunning,Ted Dunning,,,,,,,,,,,,,,,,
"APISIX is a cloud-native microservices API gateway, delivering the ultimate performance, security,open source and scalable platform for all your APIs and microservices.",APISIX,graduated,apisix,Incubator,2019-10-17,2020-07-15,https://github.com/apache/APISIX,,"{""Lua"": 934557, ""Shell"": 130973, ""Perl"": 23470, ""Python"": 15691, ""Go"": 12818, ""Makefile"": 9405, ""Java"": 5827, ""HTML"": 1347}",Lua,Markdown,,true,ningjiang,Willem Ning Jiang,jmclean,Justin Mclean,djkevincr,Kevin Ratnasekera,,ningjiang,Willem Ning Jiang,vongosling,Von Gosling,,,,,,,,,,,,,,,,,,,,,,,,,
A robust implementation of the OASIS WS-ResourceFramework (WSRF) family of specifications,Apollo,graduated,apollo,Web Services,2004-11-08,2005-06-03,,,,,,No repo,,dims,Davanum Srinivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIA TOSCA project offers an easily consumable Software Development Kit(SDK) and a Command Line Interface(CLI) to implement TOSCA(Topology and Orchestration Specification of Cloud Applications) based solutions.,AriaTosca,retired,ariatosca,Incubator,2016-08-27,2018-07-01,https://github.com/apache/incubator-AriaTosca,,"{""Python"": 2044297, ""Shell"": 10904, ""Makefile"": 2374}",Python,Python,,,smarthi,Suneel Marthi,johndament,John D. Ament,jghoman,Jakob Homan,,smarthi,Suneel Marthi,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Aries project will deliver a set of pluggable Java components enabling an enterprise OSGi application programming model.,Aries,graduated,aries,Incubator,2009-09-22,2010-12-15,https://github.com/apache/Aries,,"{""Java"": 9217764, ""JavaScript"": 189672, ""HTML"": 83923, ""CSS"": 32833, ""Groovy"": 13115, ""Shell"": 7323, ""Roff"": 2344, ""Batchfile"": 488}",Java,Java,,true,dims,Davanum Srinivas,gnodet,Guillaume Nodet,kevan,Kevan Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apache AsterixDB is a scalable big data management system (BDMS) that provides storage, management, and query capabilities for large collections of semi-structured data.",AsterixDB,graduated,asterixdb,Incubator,2015-02-28,2016-04-20,https://github.com/apache/AsterixDB,,"{""Java"": 26891726, ""Python"": 282269, ""Shell"": 233660, ""TypeScript"": 203555, ""JavaScript"": 202793, ""HTML"": 158441, ""FreeMarker"": 49128, ""Batchfile"": 47025, ""Smarty"": 31412, ""SCSS"": 24166, ""CSS"": 9615, ""TeX"": 1848, ""Dockerfile"": 1667, ""Scheme"": 1105, ""Crystal"": 453}",Java,Java,,true,ate,Ate Douma,mattmann,Chris Mattmann,hsaputra,Henry Saputra,,mattmann,Chris Mattmann,jochen,Jochen Wiedmann,,,,,,tdunning,Ted Dunning,,,,,,,,,,,,,,,,,,
Apache Atlas is a scalable and extensible set of core foundational governance services that enables enterprises to effectively and efficiently meet their compliance requirements within Hadoop and allows integration with the complete enterprise data ecosystem,Atlas,graduated,atlas,Incubator,2015-05-05,2017-06-21,https://github.com/apache/Atlas,,"{""Java"": 9061908, ""JavaScript"": 3089644, ""Python"": 452273, ""HTML"": 400036, ""SCSS"": 274066, ""Shell"": 119165, ""CSS"": 14668, ""Smarty"": 13428, ""XSLT"": 8466, ""ANTLR"": 6201, ""Dockerfile"": 2202, ""Makefile"": 1158}",Java,Java,,true,acmurthy,Arun Murthy,cdouglas,Chris Douglas,jghoman,Jakob Homan,,jitendra,Jitendra Nath Pandey,vinodkv,Vinod Kumar Vavilapalli,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora is a service scheduler used to schedule jobs onto Apache Mesos.,Aurora,graduated,aurora,Incubator,2013-10-01,2015-03-18,https://github.com/apache/Aurora,,"{""Java"": 3566317, ""Python"": 1578747, ""JavaScript"": 215916, ""Shell"": 91180, ""Thrift"": 58591, ""Starlark"": 43680, ""Smarty"": 25233, ""CSS"": 24231, ""HTML"": 13576, ""Groovy"": 7847, ""Ruby"": 4315, ""Smalltalk"": 79}",Java,Java,,true,jfarrell,Jake Farrell,benh,Benjamin Hindman,mattmann,Chris Mattmann,,benh,Benjamin Hindman,hsaputra,Henry Saputra,,,,,,,,,,,,,,,,,,,,,,,,,
"AWF is a non-blocking, asynchronous, event driven high performance web framework running on the JVM.
            (Note: originally known as Deft, renamed to AWF on 2012-02-15)",AWF,retired,awf,Incubator,2011-07-08,2012-09-16,,https://svn.apache.org/repos/asf/incubator/awf,,,,,,elecharny,Emmanuel Lecharny,mnour,Mohammad Nour El-Din,struberg,Mark Struberg,,,,,,,,,deft,Retired for lack of activity,,,,,,,,,,,,,,,,,,,,
Relational database engine written in Java.,Axion,retired,axion,DB,2003-12-19,2006-01-23,,,,,,Not available,,morgand,Morgan Delagrange,,,,,,,,,,Axion,http://axion.tigris.org/,Project remains at Axion Tigris.org,,,,,,,,,,,,,,,,,,,,,,
"BatchEE projects aims to provide a JBatch implementation (aka JSR352)
            and a set of useful extensions for this specification.",BatchEE,graduated,batchee,Incubator,2013-10-03,2019-12-10,https://github.com/apache/incubator-BatchEE,,"{""Java"": 1998093, ""Shell"": 3207, ""JavaScript"": 2075}",Java,Java,,,jbonofre,Jean-Baptiste Onofré,olamy,Olivier Lamy,struberg,Mark Struberg,,fixme,FIXME,,,Geronimo,https://geronimo.apache.org/batchee/,Batchee became part of the Geronimo project,,,,,,,,,,,,,,,,,,,,,,
"Apache Beam is an open source, unified model and set of language-specific SDKs for defining and executing data processing workflows, and also data ingestion and integration flows, supporting Enterprise Integration Patterns (EIPs) and Domain Specific Languages (DSLs). Dataflow pipelines simplify the mechanics of large-scale batch and streaming data processing and can run on a number of runtimes like Apache Flink, Apache Spark, and Google Cloud Dataflow (a cloud service). Beam also brings DSL in different languages, allowing users to easily implement their data integration processes.",Beam,graduated,beam,Incubator,2016-02-01,2016-12-21,https://github.com/apache/Beam,,"{""Java"": 35863524, ""Python"": 8950648, ""Go"": 3592258, ""Groovy"": 803595, ""Shell"": 302944, ""Kotlin"": 187550, ""HTML"": 162568, ""SCSS"": 87312, ""TypeScript"": 80747, ""JavaScript"": 38326, ""Jupyter Notebook"": 36155, ""Dockerfile"": 27992, ""Sass"": 18084, ""FreeMarker"": 7975, ""CSS"": 4957, ""C"": 3869, ""Thrift"": 3260, ""Lua"": 1916, ""ANTLR"": 1598}",Java,Java,,true,jbonofre,Jean-Baptiste Onofré,jim,Jim Jagielski,venkatesh,Venkatesh Seetharam,,jbonofre,Jean-Baptiste Onofré,bdelacretaz,Bertrand Delacretaz,,,,,,tdunning,Ted Dunning,,,,,,,,,,,,,,,,,,
The Bean Validation project will create an implementation of Bean Validation as defined by the Java EE specifications.,Bean Validation,graduated,beanvalidation,Incubator,2010-03-01,2012-02-15,https://github.com/apache/bval,,"{""Java"": 1389614}",Java,Java,,,kevan,Kevan Miller,lresende,Luciano Resende,niallp,Niall Pemberton,,,,matzew,Matthias Wessendorf,BVal,https://bval.apache.org/,Graduated as Apache BVal,bval,,,,,,,,,,,,,,,,,,,,,
"Extensible Java application framework with an integrated metadata-driven programming model for web services, web applications, and resource access",Beehive,graduated,beehive,Incubator,2004-05-21,2005-07-18,,https://svn.apache.org/repos/asf/beehive,,,,,true,craigmcc,Craig McClanahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigtop is a project for the development of packaging and tests of the Hadoop ecosystem.,Bigtop,graduated,bigtop,Incubator,2011-06-20,2012-09-19,https://github.com/apache/Bigtop,,"{""Groovy"": 590895, ""Java"": 556305, ""Python"": 522382, ""Shell"": 511047, ""Puppet"": 167006, ""Scala"": 85334, ""Makefile"": 43228, ""Roff"": 33635, ""HTML"": 25691, ""Jinja"": 20587, ""Ruby"": 13144, ""CSS"": 4822, ""PigLatin"": 3196, ""Dockerfile"": 2684, ""HiveQL"": 1658, ""XSLT"": 1323, ""CodeQL"": 129}",Groovy,CSV,,true,phunt,Patrick Hunt,tomwhite,Tom White,omalley,Owen O'Malley,,,,gates,Alan Gates,,,,,,stevel,Steve Loughran,,,,,,,,,,,,,,,,,,
"Bloodhound is a software development collaboration tool, including issue tracking, wiki and repository browsing.",Bloodhound,graduated,bloodhound,Incubator,2011-12-23,2013-03-20,https://github.com/apache/Bloodhound,,"{""Python"": 4270544, ""HTML"": 810359, ""CSS"": 120348, ""JavaScript"": 106594, ""Makefile"": 16471, ""SaltStack"": 13073, ""Shell"": 8486, ""Batchfile"": 2637}",Python,PO File,,true,hwright,Hyrum Wright,gstein,Greg Stein,brane,Branko Čibej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueMarlin will develop a web service to add intelligence functionality to a plain ad system.,BlueMarlin,current,bluemarlin,Incubator,2020-06-09,,https://github.com/apache/incubator-BlueMarlin,,"{""Python"": 1033683, ""Java"": 573343, ""Shell"": 10337}",Python,CSV,,,clr,Craig Russell,jbonofre,Jean-Baptiste Onofré,vongosling,Von Gosling,1,wave,Dave Fisher,junping_du,Junping Du,,,,,,umamahesh,Uma Maheswara Rao G,,,,,,,,,,,,,,,,,,
"Blur is a search platform capable of searching massive amounts of data
            in a cloud computing environment.",Blur,retired,blur,Incubator,2012-07-24,2017-06-22,https://github.com/apache/incubator-retired-Blur,,"{""Java"": 4412488, ""JavaScript"": 860369, ""Perl"": 491178, ""HTML"": 151138, ""Shell"": 63729, ""CSS"": 53896, ""Thrift"": 41744}",Java,Java,,,cutting,Doug Cutting,phunt,Patrick Hunt,twilliams,Tim Williams,,phunt,Patrick Hunt,,,,,,,Retired,,,,,,,,,,,,,,,,,,,,
Distance learning collaboration tool,Bluesky,retired,bluesky,Incubator,2008-01-12,2011-07-05,,,,,,No repo,,stoddard,Bill Stoddard,farra,J. Aaron Farr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brooklyn is a framework for modelling, monitoring, and managing applications
            through autonomic blueprints.",Brooklyn,graduated,brooklyn,Incubator,2014-05-01,2015-11-18,https://github.com/apache/Brooklyn,,"{""Dockerfile"": 2253}",Dockerfile,Maven,,true,hogstrom,Matt Hogstrom,akarasulu,Alex Karasulu,ke4qqq,David Nalley,,chipchilders,Chip Childers,marrs,Marcel Offermans,,,,,,jbonofre,Jean-Baptiste Onofré,olamy,Olivier Lamy,chipchilders,Chip Childers,asavu,Andrei Savu,jzb,Joe Brockmeier,jim,Jim Jagielski,,,,,,,,
brpc is an industrial-grade RPC framework for building reliable and high-performance services.,brpc,current,brpc,Incubator,2018-11-13,,https://github.com/apache/brpc,,"{""C++"": 9536370, ""Perl"": 149499, ""CMake"": 147700, ""C"": 61962, ""Makefile"": 60964, ""Objective-C++"": 32018, ""Shell"": 28511, ""Starlark"": 28352, ""Objective-C"": 21629, ""Python"": 11316, ""Dockerfile"": 1474, ""Thrift"": 297}",C++,C++,,,kmcgrail,Kevin A. McGrail,jbonofre,Jean-Baptiste Onofré,vongosling,Von Gosling,3,,,panjuan,Juan Pan,,,,,,,,,,,,,,,,,,,,,,,,,
Buildr is a simple and intuitive build system for Java projects written in Ruby.,Buildr,graduated,buildr,Incubator,2007-11-01,2009-02-23,https://github.com/apache/Buildr,,"{""Ruby"": 1675767, ""Java"": 26103, ""XSLT"": 22970, ""Shell"": 1252, ""Batchfile"": 875, ""HTML"": 188}",Ruby,Ruby,,true,jim,Jim Jagielski,mriou,Matthieu Riou,yoavs,Yoav Shapira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calcite is a highly customizable engine for parsing and planning queries on data in a wide variety of formats. It allows database-like access, and in particular a SQL interface and advanced query optimization, for data not residing in a traditional database. (Renamed from Optiq on 2014-09-30.)",Calcite,graduated,calcite,Incubator,2014-05-19,2015-10-22,https://github.com/apache/Calcite,,"{""Java"": 20467287, ""Kotlin"": 141126, ""SCSS"": 36583, ""HTML"": 28194, ""FreeMarker"": 19741, ""Shell"": 8012, ""Batchfile"": 4392, ""Ruby"": 1807, ""Python"": 1610, ""PigLatin"": 1419}",Java,Java,,true,tdunning,Ted Dunning,gates,Alan Gates,stevenn,Steven Noels,,hashutosh,Ashutosh Chauhan,,,,,,optiq,,,,,,,,,,,,,,,,,,,,,
"Apache CarbonData is a new Apache Hadoop native file format for faster interactive query using advanced columnar storage, index, compression and encoding techniques to improve computing efficiency, in turn it will help speedup queries an order of magnitude faster over PetaBytes of data.",CarbonData,graduated,carbondata,Incubator,2016-06-02,2017-04-19,https://github.com/apache/CarbonData,,"{""Scala"": 11674233, ""Java"": 7772683, ""Python"": 368778, ""C++"": 110888, ""Thrift"": 23385, ""ANTLR"": 16022, ""Shell"": 7259, ""Batchfile"": 1639, ""CMake"": 1555, ""C#"": 86}",Scala,Scala,,true,hsaputra,Henry Saputra,jbonofre,Jean-Baptiste Onofré,umamahesh,Uma Maheswara Rao G,,jbonofre,Jean-Baptiste Onofré,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassandra,Cassandra,graduated,cassandra,Incubator,2009-01-01,2010-02-17,https://github.com/apache/Cassandra,,"{""Java"": 26739699, ""Python"": 535854, ""HTML"": 265026, ""Shell"": 109087, ""GAP"": 88704, ""Lex"": 10152, ""AMPL"": 801}",Java,Java,,true,antelder,Anthony Elder,brianm,Brian McCallister,mriou,Matthieu Riou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CMDA provides web services for multi-aspect physics-based and phenomenon-oriented climate model performance evaluation and diagnosis through the comprehensive and synergistic use of multiple observational data, reanalysis data, and model outputs.",Climate Model Diagnostic Analyzer,retired,cmda,Incubator,2015-05-08,2017-02-05,https://github.com/apache/incubator-retired-cmda,,"{""JavaScript"": 9704723, ""HTML"": 2793422, ""Scala"": 2030421, ""Java"": 944022, ""CSS"": 174152, ""XSLT"": 172056, ""Shell"": 3822, ""Batchfile"": 540}",JavaScript,JavaScript,,,jcarman,James W. Carman,mattmann,Chris Mattmann,joyce,Michael James Joyce,,mattmann,Chris Mattmann,whitehall,Kim Whitehall,,,,,Retired for lack of on list activity and primary development being outside the ASF,,,,,,,,,,,,,,,,,,,,
Apache Concerted is a Do-It-Yourself toolkit for building in-memory data engines.,Concerted,retired,concerted,Incubator,2015-10-14,2016-04-25,https://github.com/apache/incubator-retired-Concerted,,"{""C++"": 66995, ""C"": 4439, ""Makefile"": 1992}",C++,C/C++ Header,,,cnauroth,Chris Nauroth,daijy,Daniel Dai,jfarrell,Jake Farrell,,rvs,Roman Shaposhnik,jhyde,Julian Hyde,,,,,Retired for lack of activity,larsh,Lars Hofhansl,,,,,,,,,,,,,,,,,,
"Apache Cordova is a platform for building native mobile applications using HTML, CSS and JavaScript (formerly Phonegap). The project entered incubation as Callback, but decided to change its name to Cordova on 2011-11-28.",Cordova,graduated,cordova,Incubator,2011-10-15,2012-10-17,,https://svn.apache.org/repos/asf/incubator/callback/,,,,A suite of projects… It used to be called callback before moving to Cordova,true,jukka,Jukka Zitting,gianugo,Gianugo Rabellino,rgardler,Ross Gardler,,,,asavory,Andrew Savory,,,,callback,,,,,,,,,,,,,,,,,,,,,
Robust Persistence,Cayenne,graduated,cayenne,DB,2006-03-09,2006-12-20,https://github.com/apache/Cayenne,,"{""Java"": 17051839, ""HTML"": 29208, ""Shell"": 5712, ""PLpgSQL"": 1082}",Java,Java,,true,jta,Jean T. Anderson,bdudney,Bill Dudney,jim,Jim Jagielski,,,,brianm,Brian McCallister,,,,,,,,,,,,,,,,,,,,,,,,,
Celix is an OSGi like implementation in C with a distinct focus on interoperability between Java and C.,Celix,graduated,celix,Incubator,2010-11-02,2014-07-16,https://github.com/apache/Celix,,"{""C"": 5063002, ""C++"": 1407382, ""CMake"": 441501, ""JavaScript"": 27661, ""Shell"": 12013, ""HTML"": 3361}",C,C,,true,marrs,Marcel Offermans,pauls,Karl Pauls,rvs,Roman Shaposhnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,Chemistry,graduated,chemistry,Incubator,2009-04-30,2010-02-16,https://github.com/apache/Chemistry,,{},,Maven,,true,fmeschbe,Felix Meschberger,gianugo,Gianugo Rabellino,jukka,Jukka Zitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chukwa is a log collection and analysis framework for Apache Hadoop clusters.,Chukwa,graduated,chukwa,Incubator,2010-07-14,2013-09-27,https://github.com/apache/Chukwa,,"{""Java"": 2260189, ""JavaScript"": 998101, ""CSS"": 148926, ""Shell"": 106866, ""HTML"": 83944, ""PigLatin"": 46207, ""XSLT"": 31963, ""Perl"": 9633, ""Dockerfile"": 7974, ""Smarty"": 236}",Java,JavaScript,,true,adc,Alan Cabrera,antelder,Anthony Elder,berndf,Bernd Fondermann,,,,jukka,Jukka Zitting,,,,,,,,,,,,,,,,,,,,,,,,,
an OSGi-based modular application and set of components (bundles) for building RESTFul Semantic Web applications and services.,Clerezza,graduated,clerezza,Incubator,2009-11-27,2013-02-20,https://github.com/apache/Clerezza,,"{""Java"": 1018158, ""Scala"": 41683, ""HTML"": 1994}",Java,Java,,true,rgardler,Ross Gardler,reinhard,Reinhard Poetz,,,,bdelacretaz,Bertrand Delacrétaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
Component based Java Web Framework,Click,graduated,click,Incubator,2008-07-21,2009-11-18,https://github.com/apache/Click,,"{""Java"": 3217912, ""JavaScript"": 189786, ""HTML"": 57155, ""CSS"": 45942}",Java,Java,,true,henning,Henning Schmiedehausen,husted,Ted Husted,wglass,Will Glass-Husain,,,,aadamchik,Andrus Adamchik,,,,,,,,,,,,,,,,,,,,,,,,,
